sample,env1,env2,sequence,description,run,location,lat,lon,total_reads,mapped_reads,OTU_number,otu_diversity,otu_mapped,otu_abun,lat_lon1
1622.DP.15.16A.2,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,8,Sediment (non-saline),0,42.17566###-72.7
1622.DP.15.16B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,7,Sediment (non-saline),0,42.17566###-72.7
1622.DP.2.3A.1,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,6,Sediment (non-saline),0,42.17566###-72.7
1622.DP.2.3A.2,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,6,Sediment (non-saline),0,42.17566###-72.7
1622.DP.2.3B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,2,Sediment (non-saline),0,42.17566###-72.7
1622.DP.21.22A.1,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,9,Sediment (non-saline),0,42.17566###-72.7
1622.DP.21.22A.2,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,8,Sediment (non-saline),0,42.17566###-72.7
1622.DP.21.22B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,9,Sediment (non-saline),0,42.17566###-72.7
1622.DP.41.42A.1,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,11,Sediment (non-saline),0,42.17566###-72.7
1622.DP.41.42A.2,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,7,Sediment (non-saline),0,42.17566###-72.7
1622.DP.41.42B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,7,Sediment (non-saline),0,42.17566###-72.7
1622.DP.5.6A.1,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,7,Sediment (non-saline),0,42.17566###-72.7
1622.DP.5.6B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,9,Sediment (non-saline),0,42.17566###-72.7
1622.DP.51.52A.1,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,14,Sediment (non-saline),0,42.17566###-72.7
1622.DP.51.52A.2,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,5,Sediment (non-saline),0,42.17566###-72.7
1622.DP.51.52B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,6,Sediment (non-saline),0,42.17566###-72.7
1622.DP.70.71A.1,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,15,Sediment (non-saline),0,42.17566###-72.7
1622.DP.70.71A.2,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,6,Sediment (non-saline),0,42.17566###-72.7
1622.DP.70.71B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,4,Sediment (non-saline),0,42.17566###-72.7
1622.DP.80.81A.1,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,13,Sediment (non-saline),0,42.17566###-72.7
1622.DP.80.81A.2,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,6,Sediment (non-saline),0,42.17566###-72.7
1622.DP.91.92A.1,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,12,Sediment (non-saline),0,42.17566###-72.7
1622.DP.91.92A.2,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,6,Sediment (non-saline),0,42.17566###-72.7
1622.DP.91.92B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Doe Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.17566,-72.7,V4,freshwater sediment metagenome,Small lake biome,4,Sediment (non-saline),0,42.17566###-72.7
1622.PP.101.102A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,7,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.101.102B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,10,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.11.12A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,4,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.11.12B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,12,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.112.113A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,3,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.112.113B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,5,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.15.16A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,9,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.15.16B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,10,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.2.3A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,6,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.2.3B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,11,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.21.22A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,5,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.21.22B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,11,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.31.32A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,9,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.31.32B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,6,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.5.6A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,4,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.5.6B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,9,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.51.52A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,12,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.51.52B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,5,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.61.62A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,8,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.61.62B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,5,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.71.72A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,10,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.71.72B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,6,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.81.82A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,12,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.81.82B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,6,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.91.92A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,5,Sediment (non-saline),0,42.30844###-71.3412
1622.PP.91.92B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice,Pickerel Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.30844,-71.3412,V4,freshwater sediment metagenome,Small lake biome,6,Sediment (non-saline),0,42.30844###-71.3412
1622.UPMain.0.1,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,11,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.1.2,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,5,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.10.11A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,6,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.10.11B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,4,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.100.101A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,0,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.100.101B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,6,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.101.102A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,4,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.101.102B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,9,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.102.103A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,2,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.102.103B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,6,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.103.104A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,4,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.103.104B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,5,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.104.105,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,3,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.105.106A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,1,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.105.106B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,11,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.106.107A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,3,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.106.107B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,15,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.107.108A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,1,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.107.108B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,10,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.108.109A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,4,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.108.109B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,8,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.109.110A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,3,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.109.110B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,6,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.11.12A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,6,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.11.12B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,5,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.110.111,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,2,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.111.112,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,5,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.112.113,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,1,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.113.114,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,4,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.114.115,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,1,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.115.116,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,4,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.116.117,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,4,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.117.118,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,4,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.118.119,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,7,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.119.120,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,3,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.12.13A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,5,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.12.13B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,6,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.120.121,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,5,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.121.122A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,4,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.121.122B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,3,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.122.123A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,4,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.122.123B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,4,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.123.124A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,4,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.123.124B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,4,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.124.125A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,2,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.124.125B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,5,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.125.126A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,6,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.125.126B,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,8,Sediment (non-saline),0,42.06###-71.37761
1622.UPMain.126.127A,Free-living,Non-saline,16S rRNA,"Freshwater sediment core slice, Uncas Pond, MA.  Aseptically collected subsample.",ERP016496,GAZ:United States of America,42.06,-71.37761,V4,freshwater sediment metagenome,Small lake biome,2,Sediment (non-saline),0,42.06###-71.37761
